63.2742 S, 115.9766 W
25.2602 S, 120.9333 E
70.3097 S, 99.0242 E
35.1894 S, 125.4526 E
43.6745 N, 63.3731 E
54.4987 N, 40.4826 E
47.8726 N, 130.5993 E
29.5956 S, 178.2274 E
22.0741 S, 152.2319 E
49.6771 S, 105.5417 W
13.2421 N, 12.1402 E
5.5449 N, 136.7742 E
44.9955 S, 86.1544 W
38.3634 S, 34.3150 W
41.3322 N, 146.9400 W
81.8796 N, 14.6806 E
6.0060 S, 114.1826 W
36.9889 S, 158.4982 E
13.3481 S, 119.1554 E
66.1132 S, 101.8691 W
9.7536 N, 172.2663 E
88.7233 S, 157.2500 E
68.9797 N, 171.5695 E
22.7588 N, 98.5276 E
20.4394 N, 5.3995 E
83.3424 N, 30.4530 W
35.0614 S, 18.3589 W
35.1355 S, 82.0045 E
84.5361 N, 8.6106 W
16.7655 N, 89.9881 E
25.1705 N, 85.2229 W
23.8051 S, 16.5672 E
65.7891 N, 87.3247 E
73.6621 S, 167.4613 E
39.6506 S, 14.8584 W
28.0132 S, 65.4771 W
30.2904 N, 137.6590 E
21.9811 S, 103.1526 E
83.3584 N, 65.5985 E
52.6172 S, 6.6029 E
26.1759 N, 34.0562 W
88.0845 S, 123.4562 E
86.9065 S, 154.9265 E
80.0264 N, 145.3716 W
9.7678 S, 50.2098 E
0.8604 N, 70.8540 E
19.9793 S, 118.4627 E
20.6216 S, 40.6757 E
77.5617 S, 11.6739 W
48.9657 S, 165.0602 E
20.6608 N, 103.5374 E
17.4063 S, 118.8865 E
65.6176 S, 109.9912 W
26.1673 N, 54.2188 W
30.6459 N, 118.4676 W
64.3203 S, 132.0021 W
0.2869 S, 121.0414 E
6.1855 N, 98.9670 W
50.3215 S, 149.1502 W
34.4366 S, 35.3864 E
39.2813 N, 12.1223 W
54.2526 S, 174.4721 E
37.2877 S, 132.9249 W
2.7905 N, 178.3796 W
12.4300 S, 45.9455 E
88.9168 S, 45.1505 W
39.9483 S, 67.2931 E
64.1433 N, 154.4922 W
50.3620 S, 153.9164 W
56.4069 N, 57.7884 E
16.5992 N, 118.5311 W
35.0480 N, 2.8904 W
55.6808 S, 86.4477 E
32.6811 N, 18.7839 E
4.5056 S, 131.1099 W
21.0797 S, 175.1310 W
0.7568 S, 6.6568 W
19.4365 N, 68.3365 E
6.4373 N, 45.7760 W
15.4960 N, 174.2395 W
76.5018 N, 175.8203 W
76.3513 N, 171.7295 E
83.8843 S, 91.3509 E
68.9953 N, 89.2948 W
45.2715 S, 59.3659 E
2.6212 N, 157.0154 E
52.3964 N, 34.6395 E
37.8258 S, 166.0654 W
25.4769 N, 139.0367 W
26.8736 N, 100.0344 W
65.3732 S, 73.0502 W
44.5339 N, 163.0043 W
89.6655 N, 5.2577 E
7.3585 N, 32.7897 W
30.7267 S, 49.5355 E
64.9603 S, 38.0232 W
79.3167 N, 107.9181 W
43.8452 N, 35.6852 W
30.7401 S, 2.3900 W
58.2247 N, 22.5891 W
44.4056 S, 22.5800 W
79.0451 S, 22.3876 W
50.8820 S, 66.6660 E
80.4145 S, 13.2045 E
71.8102 S, 19.8436 W
39.0196 S, 44.0757 W
7.1236 S, 119.8991 E
88.6334 N, 17.5886 E
15.6039 N, 149.9040 E
11.4788 S, 69.4804 W
45.2569 N, 91.5315 W
84.0105 S, 47.5370 E
38.1297 S, 122.3103 E
38.6528 N, 27.8729 W
33.9907 N, 152.0266 W
31.0950 S, 68.9485 E
17.2481 N, 124.1012 W
58.0454 S, 109.1311 W
54.9881 S, 178.4117 W
59.1547 S, 31.9827 E
83.8930 S, 141.7674 W
69.9883 N, 136.8092 E
82.9480 S, 123.9883 W
11.9873 S, 79.6209 W
20.8454 S, 103.5742 E
60.0255 S, 33.0760 W
38.4680 N, 36.8608 E
62.3223 N, 61.9559 E
24.4465 S, 75.8130 E
84.2590 N, 38.0385 E
4.5646 N, 83.9092 W
6.4530 N, 42.5659 E
57.1653 S, 92.4429 E
88.2921 S, 40.5361 W
69.6560 S, 93.0376 W
56.4618 N, 153.3456 W
60.2098 N, 66.0864 W
20.3770 N, 99.9780 E
86.8520 S, 76.0177 E
23.6679 S, 109.0781 W
47.9311 N, 67.5181 E
56.9825 S, 12.1782 E
78.4632 N, 169.0600 W
30.1953 N, 127.9529 E
2.3356 S, 102.7197 W
2.2736 S, 161.3134 E
13.7109 S, 66.0756 E
8.8195 S, 163.5916 E
5.4615 S, 169.0109 E
56.5001 S, 10.6612 W
85.2272 S, 105.9378 E
38.9020 N, 151.1116 E
88.5203 N, 16.6634 W
41.3162 N, 175.9428 E
47.6493 N, 21.3475 W
5.2616 N, 144.1152 W
82.9646 N, 16.6059 W
39.6326 N, 97.3543 W
73.0930 S, 85.2265 E
83.3284 N, 51.1339 E
48.4614 S, 7.4059 E
89.1164 N, 20.8261 W
78.7121 S, 76.8503 E
44.5548 S, 44.3005 E
47.7848 N, 149.5746 E
86.3406 S, 63.3105 W
42.5697 N, 0.2337 W
17.7353 N, 30.1666 W
63.5676 N, 95.9452 E
19.3686 N, 7.4541 W
43.0160 N, 81.2012 W
26.8622 N, 84.5851 W
36.4856 S, 164.7356 W
61.5087 S, 107.6840 W
64.8569 S, 101.4799 E
32.8824 N, 125.9933 W
52.4732 N, 139.0395 E
76.9034 N, 10.0052 E
41.0456 N, 118.9109 E
32.3937 S, 102.9510 E
33.7798 N, 109.0013 W
13.0034 S, 46.7666 W
31.0024 S, 62.0277 W
35.9222 S, 38.1474 W
51.8137 S, 44.6788 E
88.0162 N, 40.8105 W
18.6636 S, 169.9773 W
76.4043 N, 59.4217 W
22.4890 N, 134.2972 E
19.5991 S, 111.9873 E
43.5696 N, 113.7875 W
1.7460 N, 167.6296 W
20.2611 S, 2.9477 E
53.8423 S, 66.6490 W
61.0047 N, 101.7383 E
80.3080 N, 64.2852 E
70.5366 S, 81.7162 W
12.6608 N, 137.2874 E
49.5772 S, 17.8517 W
7.1530 N, 52.3271 E
21.5847 S, 21.2593 W
87.7272 N, 40.2233 E
30.7427 N, 115.7320 E
15.7370 N, 142.1922 W
53.2105 N, 111.9630 W
6.4008 N, 35.8724 W
68.8864 N, 14.6658 W
33.1601 S, 92.6305 W
11.9137 S, 154.4446 E
45.6137 S, 7.3249 W
31.5087 S, 154.5885 E
45.1945 N, 121.9799 E
24.6272 N, 146.6574 E
0.2429 S, 132.5493 E
69.1284 S, 175.9700 W
21.7130 S, 1.6211 E
44.7867 N, 107.8639 E
33.5136 S, 121.9338 E
6.8617 N, 158.2568 E
22.1024 N, 81.5515 W
3.0786 N, 116.0434 E
36.0426 N, 40.0764 W
15.2539 S, 73.8985 E
85.6083 N, 93.3655 W
56.5849 N, 53.7021 W
66.7904 S, 121.3413 E
82.7724 N, 137.1401 E
86.6518 S, 147.3521 E
23.7828 S, 174.6469 W
45.7687 S, 85.3718 W
12.6686 N, 108.9750 W
65.6230 N, 175.7204 E
77.4499 S, 137.0113 W
33.3949 N, 38.8581 W
0.1984 N, 63.8777 E
69.0039 S, 67.9004 W
41.3797 N, 21.1677 E
87.0120 S, 155.9628 E
23.5296 S, 151.2183 W
21.4508 S, 116.7595 E
29.0122 S, 43.5113 W
47.0435 S, 161.3467 W
72.3553 N, 50.4596 E
61.4686 N, 28.9348 W
0.9904 N, 52.0181 E
73.9152 S, 53.8455 W
17.1112 S, 19.1311 W
88.2293 S, 131.6354 E
71.4827 N, 11.8929 W
27.8163 N, 142.5888 E
34.5031 N, 52.3937 W
71.2218 S, 54.0134 E
75.6614 S, 27.1247 W
51.3849 N, 1.9682 E
48.4036 S, 94.5292 W
36.9694 S, 86.0592 E
35.7651 N, 155.0969 E
65.0382 N, 105.5304 W
5.7456 S, 59.3077 W
78.7771 S, 144.1477 W
43.7150 N, 165.0091 E
15.4324 S, 138.1223 E
29.5106 N, 116.1794 W
83.4066 S, 92.5220 W
86.8296 S, 108.3417 W
80.7632 S, 116.1262 W
10.5271 S, 168.0509 E
28.9299 S, 131.0961 W
73.7730 N, 14.8411 W
20.3444 S, 39.7791 E
49.7590 N, 66.9679 W
5.6364 S, 89.6614 W
50.5431 S, 67.2372 W
29.2630 S, 175.4426 W
74.1749 N, 112.1324 E
1.4959 S, 4.7123 W
77.1535 S, 108.5106 W
43.2293 S, 28.7732 W
42.3674 N, 42.7828 E
26.9440 N, 54.9666 E
21.5133 S, 14.4813 E
54.5445 N, 122.0279 E
22.0852 N, 71.1033 W
54.9294 S, 2.4122 W
3.0127 S, 160.7756 E
24.7750 N, 102.6561 E
76.3874 N, 99.2198 E
45.0020 N, 115.5374 E
49.4893 N, 39.5104 E
63.4271 S, 129.1413 W
76.8877 N, 62.2390 W
76.4673 N, 11.7318 W
74.8615 N, 134.6370 E
17.0266 N, 60.9670 E
4.8190 N, 171.0244 E
60.3513 N, 136.6645 W
59.3955 N, 41.0302 W
29.7415 S, 109.3243 W
5.5248 S, 50.7719 E
12.6289 N, 24.9047 E
45.9203 S, 32.9984 W
28.0364 N, 94.4769 E
17.1547 N, 163.4441 E
43.5735 S, 24.4925 W
78.4131 N, 97.9910 E
54.9968 S, 111.2575 W
27.3029 S, 43.0746 W
0.5356 N, 15.8972 W
62.2799 N, 140.4485 W
59.5724 N, 148.6234 E
50.9101 N, 106.8696 E
1.2717 S, 85.1290 E
51.2687 S, 96.3704 E
45.6520 S, 121.4974 E
45.0891 N, 172.9244 W
42.1693 N, 74.3744 W
56.1294 N, 20.3444 W
37.7651 N, 24.3032 W
56.7617 N, 65.6047 W
39.8328 S, 29.8251 W
80.2859 S, 69.5703 W
48.1082 N, 149.8957 E
85.4067 S, 67.1226 W
26.3673 S, 75.4751 E
81.9445 N, 93.3192 E
52.5568 N, 156.8296 E
56.0083 S, 50.4019 E
78.1626 S, 166.5021 E
69.5029 N, 87.2625 W
12.6041 S, 110.9387 E
38.0755 S, 83.2700 W
25.2073 S, 107.3064 E
51.8373 S, 140.2777 E
67.0284 N, 90.6272 W
18.0485 N, 90.9635 E
88.0426 N, 169.0681 W
18.2769 N, 115.1186 W
64.7253 S, 98.9610 E
43.5574 N, 105.7785 E
77.0515 S, 27.5002 E
20.0897 N, 68.0437 E
43.2947 S, 164.3966 E
77.1330 N, 116.6084 W
88.4432 S, 30.4020 E
33.5102 S, 100.6398 W
21.3544 N, 131.7909 W
89.2921 S, 100.2847 W
6.9245 N, 39.0632 E
68.8723 S, 149.2022 E
10.1987 N, 69.8558 W
60.6402 S, 24.7824 E
61.0084 S, 103.1015 W
60.7307 N, 172.8803 E
50.8122 N, 99.4876 E
26.8831 N, 18.0095 W
80.0272 S, 154.8071 W
0.3258 S, 51.2096 E
27.0568 N, 75.8933 E
1.0015 S, 116.1511 E
55.5666 S, 39.8444 W
53.2535 N, 23.9743 W
35.9124 N, 151.6096 W
33.5483 N, 150.0908 W
5.2528 S, 114.4766 W
6.8754 S, 177.1529 E
34.7406 N, 160.7661 E
89.6093 N, 176.2877 W
76.5262 S, 99.7416 E
40.4625 N, 166.6039 W
79.1935 S, 48.0921 W
59.1617 S, 45.1127 W
70.0832 N, 160.1162 E
8.9343 S, 67.9517 E
84.2653 S, 89.4009 W
39.7486 N, 108.8137 W
79.9832 S, 23.9400 E
69.2976 S, 33.3291 W
29.9402 N, 171.8861 E
29.4280 S, 117.2847 E
24.4100 S, 88.4660 W
16.2620 S, 145.8967 E
41.3316 S, 133.7242 W
71.2527 S, 122.2934 E
38.2703 S, 145.5022 E
74.0894 N, 179.1838 E
14.6847 N, 147.9340 W
56.3697 N, 36.3542 W
51.0325 S, 174.8587 E
39.5102 S, 8.1377 E
33.5311 S, 2.2121 W
22.2152 N, 70.9950 W
87.0740 N, 3.1882 E
67.3973 N, 38.0216 W
38.9786 N, 98.0793 E
53.2531 N, 138.5581 W
80.1579 S, 31.2419 W
56.8224 S, 47.8647 W
75.1652 S, 142.0760 E
18.7382 N, 88.5138 W
54.3101 S, 66.2262 W
10.2875 S, 155.5727 W
26.5406 N, 82.9310 E
6.6523 N, 54.0562 E
31.1921 S, 148.9723 E
46.1708 S, 72.1559 W
26.9136 S, 165.8174 W
1.5785 N, 179.9964 W
70.5745 S, 124.0255 W
56.3002 N, 158.0965 W
64.3080 S, 70.0614 E
75.5314 S, 0.3144 E
46.8363 N, 80.7671 E
78.4768 S, 53.3687 W
10.1785 N, 138.0406 E
78.4327 N, 67.6006 W
9.3408 S, 129.9881 E
34.3647 N, 23.8275 E
75.4383 S, 9.6783 E
69.1277 S, 47.9451 E
36.6190 S, 23.7648 W
65.0919 N, 90.7683 E
10.9300 S, 1.9365 E
74.2919 S, 166.6474 W
0.5158 S, 111.4123 W
54.4136 S, 84.2191 E
2.3066 N, 103.6387 E
57.0214 S, 123.0929 E
72.6839 S, 141.4708 W
29.2753 N, 36.6555 E
57.6492 N, 136.2198 W
8.4672 S, 3.6063 E
52.2795 S, 44.6892 W
75.3220 S, 153.9134 E
82.4865 N, 68.7074 E
46.0582 S, 137.0975 E
63.3447 S, 104.0991 W
63.7109 S, 148.7255 W
1.7135 S, 139.3966 E
0.5798 S, 157.0570 W
2.7693 N, 131.6406 W
21.9263 S, 135.5005 E
71.6044 N, 11.2688 E
10.4270 N, 3.9909 W
19.6927 N, 54.4531 W
76.1255 S, 152.7575 W
22.3704 S, 58.4589 E
13.3461 S, 133.5709 E
14.2873 N, 27.7165 E
26.3035 S, 8.3110 E
57.5086 N, 136.2568 W
30.3367 N, 138.4220 E
85.1983 N, 62.0360 E
39.3657 N, 87.4824 E
44.7698 N, 71.0352 E
21.2552 N, 162.3801 E
14.2526 S, 98.7950 E
66.8124 N, 68.5705 W
16.4547 S, 136.3835 E
55.7073 S, 70.2357 E
47.5407 S, 89.7102 W
73.8947 S, 60.5280 W
46.7651 N, 138.1103 E
37.6038 S, 70.4372 W
55.0524 N, 89.7972 E
56.2528 S, 51.9957 W
76.3419 S, 89.8416 W
30.9844 N, 133.1562 E
33.8161 N, 176.5862 E
29.0416 N, 88.6098 W
17.3787 S, 83.7464 E
32.0466 S, 50.4330 E
77.1330 N, 80.5275 E
69.8207 S, 115.3462 E
63.7228 S, 6.3777 W
5.6261 N, 111.8406 W
39.6675 N, 72.8875 W
86.0197 S, 15.8982 W
51.5857 S, 92.9968 E
61.1016 S, 169.7916 W
55.5082 S, 59.0730 E
39.1756 S, 81.8786 E
22.6790 N, 128.1633 E
37.0826 S, 162.5399 E
0.3809 N, 125.2464 W
43.5442 S, 5.8428 E
18.7621 S, 35.4898 W
86.4636 S, 40.5714 E
82.7739 N, 34.5181 W
52.7031 S, 25.7038 E
28.7742 S, 121.4179 W
5.4756 N, 44.1752 E
80.9997 S, 34.8849 W
77.1168 N, 99.7851 W
56.2656 N, 120.5350 E
88.7916 S, 98.6842 W
74.3500 S, 81.2724 W
14.8549 S, 4.7347 E
14.2796 N, 114.1052 E
66.9085 N, 107.4172 E
27.8722 S, 64.3625 E
48.9427 S, 41.7131 W
26.5722 S, 131.1411 W
79.0445 S, 118.3289 E
84.9612 S, 21.8866 E
24.8177 S, 126.1575 E
75.6234 N, 83.1213 W
0.7962 N, 27.4517 W
87.9937 S, 114.1862 W
87.7166 N, 6.3796 E
33.3054 N, 10.3104 E
78.5630 S, 95.8805 E
88.9164 N, 17.5189 W
26.4211 S, 147.0199 W
57.5954 S, 92.8035 E
8.0118 N, 141.9088 E
75.8516 S, 137.3272 E
82.4046 S, 2.9201 E
60.0271 S, 33.5880 E
56.2569 S, 4.9986 W
66.8836 N, 50.1897 W
19.0769 S, 157.3205 W
21.8790 N, 163.1885 W
35.3932 S, 16.8246 E
34.9444 N, 19.5703 E
33.3216 S, 168.9748 E
50.3001 S, 85.6346 E
4.0370 N, 39.4527 E
78.7816 N, 140.5337 W
83.3398 N, 36.7118 W
20.4046 S, 84.0124 E
19.0671 N, 23.8745 E
62.2737 N, 40.7138 W
33.5588 S, 30.7680 W
35.1613 N, 53.9831 W
76.4741 N, 131.3634 W
34.5293 N, 25.1498 W
10.6449 S, 112.0167 W
67.9848 S, 115.4733 E
10.1566 N, 165.3449 W
20.3481 S, 130.5042 E
46.9321 N, 40.9420 W
40.0507 S, 109.4739 W
67.2815 N, 142.0025 W
41.1467 S, 21.0122 W
13.2532 S, 62.5553 W
14.5904 N, 5.3991 W
85.7656 S, 105.9642 W
23.7350 S, 35.2151 E
4.6370 N, 7.7403 W
81.4482 N, 178.4892 E
32.4760 N, 39.4145 W
14.7103 S, 54.2344 W
30.4189 N, 19.8976 W
12.8294 S, 14.6656 E
76.6620 S, 119.3395 W
87.4378 N, 4.9572 W
41.2440 S, 8.8305 E
61.6578 N, 50.4551 E
65.5783 S, 144.8687 E
26.6553 N, 55.4754 W
43.5994 S, 126.6280 W
21.6180 S, 10.7734 W
66.9930 N, 124.9029 W
73.8953 S, 12.1989 W
18.2002 S, 173.5966 W
30.1254 S, 112.7913 W
36.1952 S, 39.4283 E
50.9450 S, 122.0581 E
62.5549 S, 173.3005 W
38.5539 S, 138.4771 E
49.9726 N, 148.7606 E
19.8426 N, 120.1361 E
59.8080 N, 116.0726 E
50.9419 N, 64.1334 E
10.3797 N, 132.3716 W
23.5797 S, 127.6211 E
81.2932 N, 18.7882 W
16.7906 N, 125.6506 E
49.5273 S, 103.9384 W
32.6348 N, 19.7516 E
49.1220 S, 112.5100 E
76.6506 S, 27.5022 E
87.5256 S, 146.0409 E
76.6433 N, 113.1570 W
36.1523 S, 119.7105 W
63.3916 N, 123.9395 W
52.5299 N, 60.1959 W
47.2613 N, 61.8673 W
73.2007 S, 78.2460 W
43.0987 S, 15.5116 W
52.9193 N, 121.3089 W
81.1321 S, 25.9183 E
9.6986 N, 87.0966 W
68.5226 S, 170.9729 E
81.9176 N, 7.3100 E
51.5514 S, 140.4473 E
48.7468 N, 73.8147 E
58.6288 S, 3.2158 W
16.2464 N, 93.8246 E
51.8730 S, 31.8962 E
38.2671 S, 82.1979 E
19.3558 S, 31.4831 E
47.3549 S, 139.5511 E
53.5008 N, 134.6488 E
74.0474 S, 153.0882 E
87.7371 S, 50.0909 W
29.9360 N, 136.0763 E
58.7019 N, 49.5680 E
14.5301 N, 77.9175 E
52.6563 S, 23.5196 E
50.1863 N, 94.7233 W
32.6337 N, 38.4124 E
36.1148 N, 3.1090 W
43.1026 S, 154.1400 E
48.9783 N, 21.9377 W
25.5361 S, 115.9513 W
53.3549 S, 101.3125 E
31.3956 S, 62.4760 E
83.6860 N, 8.0367 E
74.7468 N, 62.7156 E
66.9477 S, 74.4185 W
73.7749 N, 17.6534 W
39.3946 S, 99.7356 E
83.4944 N, 143.0508 W
58.3511 N, 165.6945 E
25.3263 S, 161.3076 W
36.9943 S, 174.3599 E
89.5637 S, 34.4715 W
34.4843 N, 137.5388 E
48.2345 S, 162.0720 E
79.8795 S, 117.2847 W
12.0162 N, 140.1674 W
38.9206 N, 43.5532 E
86.2049 N, 29.3481 W
58.0081 S, 168.2574 W
75.3115 N, 94.9403 E
55.0149 N, 167.2668 W
22.1484 S, 32.3095 W
25.1841 N, 174.4781 E
80.5865 S, 113.3911 W
23.6702 N, 63.1308 W
64.5766 N, 83.1868 E
27.2341 N, 179.5068 E
23.6054 S, 58.8236 E
18.6504 S, 105.7127 E
34.3582 S, 73.2274 W
56.4357 N, 94.4102 W
89.6959 S, 69.1074 E
63.4323 N, 33.4969 E
83.7706 N, 173.4790 E
65.7587 S, 172.5028 W
60.2189 N, 103.8571 W
14.0689 S, 67.1485 E
74.2050 S, 112.0223 W
64.9152 S, 22.7713 W
45.3152 N, 47.2019 E
31.7186 N, 40.2545 W
88.1123 N, 67.6610 E
85.6186 N, 45.1494 E
9.3735 N, 98.4370 W
84.6952 N, 154.2858 W
55.4720 N, 156.4005 E
36.3700 S, 32.8538 W
78.8623 N, 118.7454 W
86.3647 S, 172.4747 E
35.6801 N, 152.1730 W
62.5504 N, 16.6050 W
71.8677 S, 84.9232 W
24.1510 S, 88.0553 W
43.4249 N, 90.3504 E
20.6312 N, 122.9767 E
71.4049 N, 90.0631 E
65.9762 S, 98.6296 W
34.3345 N, 80.5630 E
80.6230 N, 57.9362 E
56.8288 S, 73.6368 W
8.8274 N, 173.2473 E
43.0036 N, 128.2869 E
26.4243 N, 43.8042 W
53.8811 N, 11.9574 E
7.1802 S, 60.6830 E
49.8414 N, 79.8116 W
55.9316 N, 70.7839 W
40.9823 N, 118.5818 E
9.5757 N, 107.9094 E
85.8610 N, 179.0094 E
2.6240 N, 52.0771 W
76.2297 S, 153.5697 W
31.0047 N, 12.4060 E
86.2656 S, 59.7150 W
35.8400 S, 157.5897 W
52.6781 S, 50.4313 W
10.3170 N, 78.0005 W
13.1287 N, 73.1815 W
27.7407 S, 107.4246 W
81.9466 N, 99.4930 W
67.8415 N, 136.1210 W
46.3663 S, 106.3008 E
4.3221 N, 60.0356 E
64.1279 N, 48.4015 E
68.4399 S, 168.9883 E
36.1535 S, 36.2414 E
15.0465 N, 7.1669 E
17.8936 N, 43.6119 W
4.8986 S, 79.8768 W
73.0784 S, 9.7110 E
25.3242 N, 33.0556 E
61.6406 S, 67.0456 E
76.8599 N, 0.9523 W
66.4692 N, 77.3644 E
31.8685 S, 97.4236 W
48.0413 N, 25.6606 E
86.7221 S, 80.5627 E
57.6671 N, 152.0409 E
31.2399 N, 112.1479 E
57.8838 S, 96.5518 E
24.6731 N, 43.6820 W
18.0985 N, 44.0985 E
57.9675 S, 86.4880 W
66.7265 N, 139.0920 W
59.2460 N, 105.7964 W
79.2141 S, 59.9188 W
82.6121 S, 162.0501 E
14.5940 N, 170.6670 W
82.8674 N, 123.6414 W
48.5808 N, 35.1113 E
11.6759 S, 74.9336 W
36.0801 S, 11.9396 W
72.0427 N, 160.9750 E
61.4503 S, 93.7613 W
22.2316 S, 16.0141 E
55.8762 N, 55.8808 W
63.3602 S, 70.8021 W
46.7088 N, 30.1301 W
39.6352 S, 25.9601 W
35.7874 N, 93.2627 W
38.6307 S, 45.3678 W
7.6788 N, 149.8182 E
17.9802 N, 20.9787 E
74.2199 N, 69.5851 W
32.8679 S, 21.2694 E
69.7843 N, 168.5897 W
31.6617 S, 139.2845 E
36.8599 N, 76.8501 W
82.9216 S, 87.4143 W
61.7808 S, 125.4362 E
29.5624 N, 7.2701 W
46.4883 N, 144.3390 W
34.6049 S, 96.8089 W
3.0503 N, 158.1669 W
45.5788 N, 118.1127 E
68.1260 S, 126.8946 W
87.7710 S, 113.7271 E
61.9800 S, 109.2740 W
1.6271 S, 73.6394 W
83.6255 S, 144.9250 W
70.1043 N, 167.7848 W
66.0318 N, 127.5032 W
64.3473 S, 124.9368 W
61.6872 N, 44.3663 W
46.0565 S, 134.0771 W
23.8919 S, 11.9255 W
47.4430 S, 173.7836 W
10.1888 N, 118.7416 W
4.6538 S, 172.4548 E
40.2246 S, 139.7180 E
44.2234 S, 13.0481 W
7.0971 N, 171.1315 W
31.3092 N, 178.1890 W
60.8214 N, 68.0404 E
3.3989 S, 143.5830 E
76.0741 S, 62.3831 E
75.4561 N, 77.1967 E
0.6512 S, 113.0621 W
67.4095 S, 25.8095 E
44.8384 S, 135.0959 E
20.6586 N, 97.3145 E
88.2628 S, 19.2736 W
62.2002 N, 39.5654 W
69.8505 N, 169.3125 E
65.7021 N, 53.3949 E
89.7774 N, 157.0458 W
78.0603 S, 26.4243 W
5.0563 S, 65.3511 W
62.1603 N, 49.3403 E
2.1525 N, 76.2021 W
75.3249 S, 49.2350 W
63.3359 S, 145.3501 E
71.0587 S, 129.2315 W
15.3429 N, 90.9074 E
19.7187 S, 148.3285 W
57.5151 N, 66.2322 W
87.9903 S, 73.1665 W
27.4343 S, 157.9462 E
76.2311 S, 74.5788 E
79.8885 S, 176.5646 W
83.0033 S, 14.7202 E
69.1506 N, 164.5790 W
31.9875 N, 31.6063 W
75.5845 S, 163.3820 W
8.8347 S, 27.8452 W
73.6290 N, 168.2299 E
56.5846 N, 2.3816 E
61.7668 N, 93.0038 W
69.2176 N, 57.7807 E
62.6237 N, 14.6897 E
51.0295 S, 88.4271 W
61.4773 N, 43.8995 E
75.6700 S, 91.6696 E
24.8564 S, 13.5403 E
15.7129 S, 1.5100 E
66.7813 S, 67.2780 W
19.6368 N, 75.1387 W
57.0051 S, 100.7247 W
88.8314 S, 24.0026 E
35.4355 N, 41.1243 E
12.8859 S, 168.0529 E
16.1234 N, 109.6972 E
83.2745 S, 118.1471 W
79.9119 S, 168.7136 W
48.6550 S, 93.9582 W
79.2316 N, 4.9457 W
45.2089 N, 168.5344 W
14.1291 N, 97.7888 W
64.6934 S, 21.7334 E
49.9410 N, 32.2322 W
8.4118 S, 75.6984 E
44.3813 S, 97.3583 E
29.1695 S, 9.0026 W
73.7009 N, 137.2269 W
59.9156 N, 133.0561 E
11.1488 N, 31.4952 E
27.7872 N, 163.1952 W
58.3871 S, 54.8126 W
86.6220 S, 175.0531 W
44.9570 S, 42.0348 W
70.6589 N, 146.4532 W
74.2666 S, 25.1473 E
57.6912 S, 77.1093 W
78.9119 N, 21.9087 W
38.7388 S, 62.6722 E
87.7337 N, 19.8366 E
67.8089 S, 36.4807 W
50.4460 N, 22.3126 W
10.9831 S, 89.1861 E
28.3872 N, 131.0300 W
42.2249 N, 63.4914 W
27.9301 S, 130.4879 E
26.3477 S, 163.3128 E
65.7721 S, 60.0595 W
2.7936 S, 99.8045 W
36.8274 N, 155.8173 E
24.3716 S, 59.5654 W
89.0467 S, 152.4190 W
56.4790 S, 173.7112 E
30.7257 S, 57.5450 E
12.6816 N, 115.4131 E
86.2602 N, 98.1858 W
24.1974 N, 37.1885 E
24.1436 S, 20.5188 E
38.0732 S, 151.8638 E
87.9265 N, 116.7170 W
33.8644 S, 96.7403 W
52.8593 S, 26.9958 E
70.2758 N, 42.9207 E
43.3473 S, 4.0742 E
86.3765 N, 98.9370 E
75.6578 S, 30.8999 W
35.6579 N, 53.1241 E
18.6863 S, 39.7685 E
86.2795 N, 15.3014 W
62.8922 N, 97.7389 E
16.1146 N, 137.3317 E
61.7238 N, 93.7786 E
47.7734 N, 125.4883 W
69.6671 N, 68.7727 E
47.4591 S, 121.6061 E
30.5800 S, 87.6297 E
32.9971 N, 166.8539 E
74.5876 S, 118.4267 E
3.3736 N, 60.4282 E
51.1492 N, 161.8498 W
85.7832 S, 50.8646 W
72.7783 N, 27.5509 W
38.2245 S, 159.2768 W
46.0752 N, 148.2865 E
61.3102 N, 137.3446 W
82.9418 S, 57.1827 W
4.2945 S, 110.1609 E
65.3491 N, 154.5956 W
8.3870 S, 37.2524 E
71.8311 N, 101.8560 W
28.3250 S, 106.6570 W
19.3615 S, 113.8598 E
55.8105 N, 162.3512 E
50.8454 N, 12.9330 E
9.1449 S, 45.9445 W
78.6896 N, 138.5509 E
88.6564 N, 82.8381 W
73.8907 S, 133.3043 E
20.1447 N, 152.5587 W
10.6871 S, 11.2757 E
20.0474 N, 103.3407 E
88.1867 S, 107.7944 W
21.7141 N, 99.4257 W
19.3695 S, 16.3046 E
80.0031 S, 55.8063 E
69.6822 N, 151.1291 E
28.5831 N, 28.0926 E
50.8825 N, 11.3777 E
64.7488 S, 46.1445 W
25.4809 N, 95.0251 E
65.6797 S, 129.8061 W
21.1360 N, 23.6802 E
37.6599 S, 94.7562 W
52.0100 S, 35.7689 W
17.8719 S, 138.1172 E
82.1495 N, 87.7226 E
79.4253 N, 83.0270 W
68.6419 S, 110.0527 W
10.2712 S, 36.1368 W
42.3781 N, 37.7312 W
26.9021 S, 63.6185 E
0.9952 S, 143.8261 W
86.7482 S, 149.0659 E
36.9364 S, 66.8389 E
77.8219 S, 133.0239 W
26.4372 S, 102.6674 W
34.5466 N, 169.1610 W
79.4534 S, 13.8032 W
16.0630 S, 110.0904 E
45.3372 S, 139.3108 E
73.2811 N, 133.5749 W
